Log 2 Ratio RNA Protrusion/Body_1,Log 2 Ratio RNA Protrusion/Body_2,ENSG,Gene name,Protein name,Uniprot
0.56291,0.496355,ENSG00000169981,ZNF35,Zinc finger protein 35,B2RBU6;B4DUB8;C9J011;C9JGR2;C9JGS9;P13682;Q53Y54;Q96D01
0.20866,0.496055,ENSG00000170581,DKFZp686H05229;Stat2;STAT2,Signal transducer and activator of transcription 2,A0JLQ9;B4DHE0;B4DHI1;B4DLC7;B4DLC8;P52630;Q16430;Q16431;Q6LD48;Q6N0A7;Q9UDL4
0.49172,0.495665,ENSG00000117593,DARS2,"Aspartate--tRNA ligase, mitochondrial",A8K4A8;Q6PI48;Q9H9J7;Q9H9M6;Q9NVT8
0.49051,0.495095,ENSG00000133985,TTC9,Tetratricopeptide repeat protein 9A,Q86WT2;Q92623
0.40232,0.494725,ENSG00000123416,TUBA1B;TUBA4A,Tubulin alpha-1A chain;Tubulin alpha-1B chain,A8JZY9;B3KPS3;B3KT06;B4DDU2;B4DN58;C9JDS9;P04687;P05209;P68363;Q27I68
0.54994,0.494165,ENSG00000142684,ZNF593,Zinc finger protein 593,A9J4F5;B2R4S0;O00488;Q5T2H7
0.21358,0.494055,ENSG00000083896,YTHDC1,YTH domain-containing protein 1,Q4W5Q3;Q7Z622;Q8TF35;Q96MU7
0.60678,0.493755,ENSG00000172667,ZMAT3,Zinc finger matrin-type protein 3,B3KVA6;C9J8H5;Q96A21;Q9HA38
0.37916,0.493665,ENSG00000117118,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",B2R545;P21912;Q0QEY7;Q70SX8;Q9NQ12
0.608079,0.493385,ENSG00000120217,CD274,Programmed cell death 1 ligand 1,B2RBA2;B4DU27;Q0GN75;Q14CJ2;Q2V8D5;Q66RK1;Q6WEX4;Q9NUZ5;Q9NZQ7
0.323874,0.493364,ENSG00000156958,GALK2,N-acetylgalactosamine kinase,B3KUV8;B4DW43;B7ZAX5;Q01415;Q7Z4Q4
1.29631,0.493335,ENSG00000196420,S100A5,Protein S100-A5,P33763;Q52LE7;Q5RHS3
0.79933,0.493165,ENSG00000167034,NKX3-1,Homeobox protein Nkx-3.1,O15465;Q99801;Q9H2P4;Q9H2P5;Q9H2P6;Q9H2P7;Q9HBG0
0.10146,0.492415,ENSG00000131375,CAPN7,Calpain-7,B2RAM2;Q7Z479;Q9Y6W3
0.55634,0.492345,ENSG00000137343,ATAT1;C6orf134,Alpha-tubulin N-acetyltransferase,A2AB28;B7Z4Q7;B7Z5C8;Q3LIB0;Q5JP39;Q5JP40;Q5JP42;Q5SQI0;Q5SQI1;Q5SU03;Q86X42;Q8NDK9;Q8TAV6;Q9BRS1;Q9H8X5
0.75264,0.491705,ENSG00000183431,SF3A3,Splicing factor 3A subunit 3,A8K566;A8K7V1;B3KY12;B4DW90;Q12874;Q15460;Q53HM6;Q5VT87
0.484661,0.491245,ENSG00000122035,RASL11A,Ras-like protein family member 11A,B2RN97;Q6T310
0.3864,0.491206,ENSG00000132661,NXT1,NTF2-related export protein 1,Q9UKK6
0.67224,0.491005,ENSG00000145050,MANF,Mesencephalic astrocyte-derived neurotrophic factor,A8K878;P55145;Q14CX4;Q86U67;Q96IS4
0.34884,0.490595,ENSG00000161217,PCYT1A,Choline-phosphate cytidylyltransferase A,A9LYK9;B2R8P1;B4E322;C9J050;C9J2E1;C9JEJ2;C9JNT9;C9JPY0;C9JVS0;P49585;Q86Y88
0.09145,0.490025,ENSG00000042429,MED17,Mediator of RNA polymerase II transcription subunit 17,B3KN07;B4DSE1;Q9HA81;Q9NVC6;Q9UNP7;Q9Y2W0;Q9Y660
0.53172,0.489816,ENSG00000145431,PDGFC,"Platelet-derived growth factor C;Platelet-derived growth factor C, latent form;Platelet-derived growth factor C, receptor-binding form",B2R9K6;B4DU34;B4E3A5;B9EGR8;Q4W5M9;Q9NRA1;Q9UL22
0.52876,0.489755,ENSG00000167785,ZNF558,Zinc finger protein 558,A8K5F0;B7Z798;Q96NG5
0.24998,0.489265,ENSG00000116266,STXBP3,Syntaxin-binding protein 3,A8K269;A8K5K7;O00186;Q53FW1;Q86YJ3;Q9UPD7
0.0599501,0.489115,ENSG00000074054,CLASP1;DKFZp686D1968,CLIP-associating protein 1,A2RU21;B7Z2P0;B7Z4E5;B7Z4J0;B7Z5R7;B7Z7C4;B7Z7Q8;B7ZLX3;C9J151;C9JP76;C9JW97;O75118;Q07A21;Q2KHQ9;Q5H9P0;Q68D09;Q6TAR3;Q7Z460;Q8N5B8;Q9BQT5
0.26365,0.488915,ENSG00000152223,DKFZp667P2311;EPG5;KIAA1632,Ectopic P granules protein 5 homolog,A2BDF3;B5MEF3;Q8N401;Q9BTI0;Q9BYJ3;Q9H8C8;Q9HCE0
0.56295,0.488865,ENSG00000127952,DKFZp686O05147;STYXL1,Serine/threonine/tyrosine-interacting-like protein 1,C9J4H0;C9JME1;Q7Z3H6;Q9UBP1;Q9UK06;Q9UK07;Q9UKG2;Q9UKG3;Q9Y6J8
0.99714,0.488855,ENSG00000109854,HTATIP2,Oxidoreductase HTATIP2,A8K7S7;O15383;O60520;O95345;Q53GC1;Q53GG2;Q6IBI3;Q9BUP3
0.63552,0.488825,ENSG00000007392,LUC7L,Putative RNA-binding protein Luc7-like 1,A8MYV2;B8ZZ08;B8ZZ09;B8ZZ10;B8ZZ12;B8ZZ13;Q1W6G4;Q53G47;Q96S32;Q9NPH4;Q9NQ29
0.35765,0.488765,ENSG00000008311,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial;Lysine ketoglutarate reductase;Saccharopine dehydrogenase",A4D0W4;B4DFY7;O95462;Q9UDR5
0.44089,0.488725,ENSG00000085511,MAP3K4,Mitogen-activated protein kinase kinase kinase 4,A6H8W0;A8MVL6;B7ZLD3;B9EG75;Q5JR42;Q5VTT8;Q5VTT9;Q92612;Q9H408;Q9P1M2;Q9Y6R4
0.25472,0.488605,ENSG00000068796,KIF2A,Kinesin-like protein KIF2A,A5YM42;A5YM54;B0AZS5;B4DM85;B4DY54;O00139;Q7Z5I3;Q8N5Q7
0.4992,0.488375,ENSG00000034693,PEX3,Peroxisomal biogenesis factor 3,B4DV31;P56589;Q6FGP5;Q7Z6V3
0.62395,0.488036,ENSG00000187079,TEAD1,Transcriptional enhancer factor TEF-1,A4FUP2;P28347
0.378783,0.487575,ENSG00000132950,ZMYM5,Zinc finger MYM-type protein 5,B2R6V1;Q5T6E1;Q5T6E2;Q5T6E4;Q96IY6;Q9NZY5;Q9UBW0;Q9UJ77;Q9UJ78
0.46744,0.487306,ENSG00000116698,SGA56M;SMG7,Protein SMG7,B1ALB3;B1ALB4;B1ALB5;B1ALB8;B1ALB9;B4DLY0;B4DRB2;Q5T1Q0;Q6PIE0;Q6TV06;Q7Z7H9;Q8IXC1;Q8IXC2;Q8NB69;Q92540;Q96N31
0.49144,0.487286,ENSG00000100345,FLJ00279;MYH9,Myosin-9,A8K6E4;B1AH99;B4E3S1;O60805;P35579;Q2PS10;Q5BKV1;Q60FE2;Q6ZNL4;Q86T83;Q86XU5;Q99529;Q9UMJ0
0.47775,0.487245,ENSG00000103365,GGA2,ADP-ribosylation factor-binding protein GGA2,O14564;Q9NYN2;Q9UJY4;Q9UPS2
0.42837,0.487025,ENSG00000182253,SYNM,Synemin,A7E2Y2;C9JCJ1;C9JIE4;O15061;Q2TBJ4;Q5NJJ9;Q8TE61;Q8TE62
0.68553,0.486125,ENSG00000070761,C16orf80,UPF0468 protein C16orf80,Q9Y6A4
0.53534,0.486105,ENSG00000152642,GPD1L,Glycerol-3-phosphate dehydrogenase 1-like protein,A8K9U3;B3KWN2;C9JFA7;C9JM46;C9K0P5;Q14702;Q8N335;Q9BRM5
0.38222,0.486016,ENSG00000051825,MPHOSPH9,M-phase phosphoprotein 9,A1L486;A6NEE2;A8MVQ6;B3KR87;Q99550;Q9H976
0.292978,0.485973,ENSG00000142556,ZNF614,Zinc finger protein 614,Q494T8;Q8N883;Q8TCF4;Q9BSN8
0.197067,0.485958,ENSG00000221947,XKR9,XK-related protein 9,B2RNS9;B9EH74;Q5GH70
0.45146,0.485885,ENSG00000174100,MRPL45,"39S ribosomal protein L45, mitochondrial",A1L436;B4DEF8;Q6ZMJ5;Q9BRJ2
0.0119903,0.485865,ENSG00000122550,KLHL7,Kelch-like protein 7,A4D144;A8K364;B7Z3P9;B7Z4N7;B7Z5I9;Q7Z765;Q8IWW9;Q8IXQ5;Q96MV2;Q9BQF8;Q9UDQ9
0.61322,0.485845,ENSG00000122912,SLC25A16,Graves disease carrier protein,B4DPV4;P16260;Q8N2U1
0.1013,0.485326,ENSG00000160256,FAM207A,Protein FAM207A,C9JJU7;Q9NSI2
0.79427,0.485186,ENSG00000181991,MRPS11,"28S ribosomal protein S11, mitochondrial",B2RD52;P82912;Q53FX9;Q53GJ8;Q969D7;Q96GI3;Q9BYC3
0.63768,0.485115,ENSG00000125257,ABCC4;MOAT-B,Multidrug resistance-associated protein 4,A8K2Q2;A9Z1Z7;B7Z5H4;O15439;O75555;Q59GY6;Q8IUA3;Q8IVZ4;Q8IZN6;Q8NEW8;Q9Y6J2
0.551111,0.485045,ENSG00000123144,C19orf43,Uncharacterized protein C19orf43,B2RE11;Q9BQ61
0.98508,0.484545,ENSG00000165650,PDZD8,PDZ domain-containing protein 8,Q86WE0;Q86WE5;Q8NEN9;Q9UFF1
0.48575,0.484255,ENSG00000100796,SMEK1,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,Q69YK6;Q6IN85;Q86U23;Q86YI7;Q8IVG1;Q8N6W1;Q9H3F1;Q9H7U8;Q9NV01;Q9NWP1
0.23766,0.484055,ENSG00000158987,KIA001LB;RAPGEF6,Rap guanine nucleotide exchange factor 6,A3KN82;A5PLL6;B2RTU6;B7Z7Y1;B7ZML2;O43386;Q8NI21;Q8TEA3;Q8TEU6;Q8TEU7;Q96PC1;Q9UHV4
0.5055,0.484025,ENSG00000111361,EIF2B1,Translation initiation factor eIF-2B subunit alpha,A6NLY9;B4DGX0;Q14232;Q3SXP4
0.704656,0.483388,ENSG00000088035,ALG6,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",A2A2G4;B3KMU2;B4DHV8;Q5SXR9;Q9H3I0;Q9Y672
0.66871,0.482905,ENSG00000165943,MOAP1,Modulator of apoptosis 1,B2RDF6;Q96BY2;Q9H833;Q9HAS1
0.28375,0.482595,ENSG00000132549,VPS13B,Vacuolar protein sorting-associated protein 13B,C9JD30;Q53G09;Q709C6;Q709C7;Q7Z7G4;Q7Z7G5;Q7Z7G6;Q7Z7G7;Q7Z7G8;Q8N509;Q8NB77;Q9NWV1;Q9Y4E7
0.64893,0.482475,ENSG00000197798,FAM118B,Protein FAM118B,Q9BPY3;Q9H7B0
0.54489,0.482355,ENSG00000102699,PARP4,Poly [ADP-ribose] polymerase 4,A0PJ82;B4E2S2;O75903;Q14682;Q5QNZ9;Q9H1M6;Q9UKK3
0.20791,0.482055,ENSG00000111364,DDX55,ATP-dependent RNA helicase DDX55,B4DVE4;Q658L6;Q8IYH0;Q8NHQ9;Q8TEC9;Q9HCH7
0.3613,0.481176,ENSG00000113163,COL4A3BP,Collagen type IV alpha-3-binding protein,A8K7S2;B3KUB7;Q53YV1;Q53YV2;Q96Q85;Q96Q88;Q9H2S7;Q9H2S8;Q9Y5P4
0.46941,0.481095,ENSG00000131626,PPFIA1,Liprin-alpha-1,A6NLE3;B3KVS8;Q13135;Q13136;Q14567;Q59FZ5;Q8N4I2
0.5608,0.481015,ENSG00000185022,MAFF,Transcription factor MafF,B0QY70;B0QY71;B4DV49;Q9ULX9;Q9Y525
0.70726,0.480875,ENSG00000135930,EIF4E2;tmp_locus_9,Eukaryotic translation initiation factor 4E type 2,B4E1E4;B8ZZ50;B8ZZJ9;B8ZZL3;B9A023;B9A044;C9JEL3;O60573;O75349;Q53RG0;Q59FE1
-1.079,0.480095,ENSG00000160703,DKFZp586D2422;NLRX1,NLR family member X1,A8K6Q1;B3KPK2;B3KTA2;B7Z889;C9J0R6;C9JLK8;C9JQE9;Q659G8;Q7RTR3;Q86UT6;Q96D51;Q9H724
0.57897,0.479415,ENSG00000128245,YWHAH,14-3-3 protein eta,A2IDB1;A2IDB2;B2R6N6;C9JPT2;Q04917;Q9H4N8
0.18991,0.479136,ENSG00000143891,GALM;LOC130589,Aldose 1-epimerase,B8ZZ75;Q53RY1;Q8NIA2;Q96C23
0.64417,0.479065,ENSG00000100722,ZC3H14,Zinc finger CCCH domain-containing protein 14,A8MY46;B4DZW7;B4E2H4;B5MBX9;B5MD57;B5MDV7;Q6MZU4;Q6PJ32;Q6PJT7;Q6PUI6;Q6PUI8;Q86TQ5;Q86TW0;Q86TW1;Q8NCT6;Q8NCZ3;Q8TDE2;Q9HAC9;Q9Y5A0
0.76254,0.478825,ENSG00000137074,APTX,Aprataxin,A8MTN4;C9J018;C9J8U3;C9JZ40;D3YTC3;Q0P662;Q5T781;Q5T782;Q5T783;Q5T784;Q6JV79;Q6JV81;Q6JV82;Q6JV85;Q7Z2E3;Q7Z2F3;Q7Z336;Q7Z5R5;Q7Z6V7;Q7Z6V8;Q9NXM5
0.394187,0.478635,ENSG00000074935,TUBE1,Tubulin epsilon chain,Q5H8W7;Q5H8W8;Q5H8W9;Q8NEG3;Q9UJT0
0.29675,0.478076,ENSG00000104823,ECH1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",A8K745;Q13011;Q8WVX0;Q96EZ9
0.75021,0.478015,ENSG00000055208,TAB2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,B2RCC4;B4DIR9;O94838;Q6I9W8;Q76N06;Q9NYJ8;Q9UFP7
0.91967,0.477095,ENSG00000204682,C10orf114,Putative uncharacterized protein C10orf114,A1L4M3;Q5T4H9
0.12534,0.476945,ENSG00000095002,MSH2,DNA mismatch repair protein Msh2,B4DL39;B4DN49;B4DSB9;B4E2Z2;C9J809;O75488;P43246;Q0ZAI9;Q0ZAJ0;Q0ZAJ1;Q0ZAJ2;Q53FK0;Q53GS1;Q53RU4;Q6VBB7
-1.78599,0.476355,ENSG00000165209,DKFZp434P151;STRBP,Spermatid perinuclear RNA-binding protein,Q32NB9;Q5JPA5;Q96SI9;Q9BUE1;Q9BXG4;Q9H0B4;Q9H7V1;Q9NUK4
-0.76464,0.475765,ENSG00000168779,SHOX2,Short stature homeobox protein 2,A6NLG4;C9J3D0;O60465;O60467;O60902;O60903
1.01276,0.475746,ENSG00000147642,SYBU,Syntabulin,A8K354;B3KQX3;B3KRD1;B3KU61;B7Z4D2;Q5R1T1;Q5R1T2;Q5R1T3;Q5Y2M6;Q8ND49;Q8TCR6;Q96D80;Q9NX95;Q9P256
0.44825,0.475515,ENSG00000122299,ZC3H7A,Zinc finger CCCH domain-containing protein 7A,Q8IWJ6;Q8IWR0;Q9NPE9;Q9NXC8
0.597168,0.475445,ENSG00000105865,DUS4L;PP35,tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like,A4D0R5;B4DFH2;B4DLX0;O95620;Q2NKK1
0.12969,0.475286,ENSG00000132570,PCBD2,Pterin-4-alpha-carbinolamine dehydratase 2,Q8TD40;Q9H0N5
0.4319,0.475285,ENSG00000115339,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3,B2R8J0;C9J2C3;C9J388;C9JW45;C9JXX2;C9JY57;Q14435;Q53TG9;Q68VJ6;Q7Z476
0.30419,0.475261,ENSG00000198862,LTN1,E3 ubiquitin-protein ligase listerin,A6NL41;A7E2D0;B2RTS0;C9J7U3;O94822;Q05C47;Q9H8M4;Q9NUY5;Q9P0E9
0.19321,0.475165,ENSG00000164400,CSF2,Granulocyte-macrophage colony-stimulating factor,P04141;Q14CE8;Q2VPI8;Q647J8;Q8NFI6
0.58859,0.475026,ENSG00000205937,RNPS1,RNA-binding protein with serine-rich domain 1,A8K1P0;B4DDU8;B4DZU7;B7ZA17;O75308;Q15287;Q32P25;Q8WY42;Q9NYG3
0.47691,0.474915,ENSG00000137054,POLR1E,DNA-directed RNA polymerase I subunit RPA49,B4DW33;B4DYB1;B4E005;Q5VZT3;Q8NBA9;Q96L20;Q9GZS1
0.96083,0.474225,ENSG00000151532,VTI1A,Vesicle transport through interaction with t-SNAREs homolog 1A,A2A307;B4E137;C9JYH5;Q5W0D7;Q96AJ9
0.7413,0.474015,ENSG00000126860,EVI2A,Protein EVI2A,B2R5X2;B4DHX8;P22794
0.59769,0.473785,ENSG00000056558,TRAF1,TNF receptor-associated factor 1,B4DJ77;Q13077;Q658U1;Q8NF13
0.75739,0.473465,ENSG00000065357,DGKA,Diacylglycerol kinase alpha,B4E0C6;C9JM35;O75481;O75482;O75483;O95217;P23743;Q3ZE25;Q8IZ56;Q8N5Q2
0.43926,0.473265,ENSG00000179833,SERTAD2,SERTA domain-containing protein 2,Q14140;Q53TS2
0.29334,0.472655,ENSG00000172331,BPGM,Bisphosphoglycerate mutase;Phosphoglycerate mutase,A4D1N9;B3KUR3;C9JH23;P07738;Q59GR5
0.77529,0.472385,ENSG00000113595,TRIM23,E3 ubiquitin-protein ligase TRIM23,A8K9U9;P36406;Q9BZY4;Q9BZY5
0.55982,0.472345,ENSG00000175764,TTLL11,Tubulin polyglutamylase TTLL11,B1AP70;Q6ZUZ3;Q8NHH0;Q8NHH1
0.4857,0.472015,ENSG00000111906,HDDC2,HD domain-containing protein 2,A6NCS0;Q5TDQ4;Q6NZ49;Q7Z4H3;Q9BTT2;Q9BV31;Q9Y3D1
0.30925,0.471575,ENSG00000206560,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,B4DES5;B4DIW9;B4DS25;C9JBB9;O15084;Q1WWL4;Q29RW6;Q3B857;Q6ULS0;Q6ZT57
0.28693,0.471365,ENSG00000115840,SLC25A12,Calcium-binding mitochondrial carrier protein Aralar1,B3KMV8;B3KR64;B4DGK6;O75746;Q96AM8
0.32645,0.471125,ENSG00000169251,NMD3,60S ribosomal export protein NMD3,B3KMN5;B3KT11;B4DKU1;C9IY70;C9IZW9;C9J0B9;C9JA08;C9K0C2;Q96D46;Q9Y2Z6
0.68716,0.470715,ENSG00000131844,MCCC2,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",A6NIY9;B3KR24;Q96C27;Q9HCC0;Q9Y4L7
0.22916,0.470485,ENSG00000165140,FBP1,"Fructose-1,6-bisphosphatase 1",A8QID0;B2RE74;O75571;P09467;Q2TU34;Q53F94;Q5VZC3;Q96E46
0.33649,0.469805,ENSG00000168734,PKIG,cAMP-dependent protein kinase inhibitor gamma,Q549H9;Q5H937;Q9Y2B9
0.52623,0.469295,ENSG00000134339,HuSAA1g,Serum amyloid A protein,Q16782
0.16024,0.469125,ENSG00000184277,TM2D3,TM2 domain-containing protein 3,B2RDK9;B3KT51;B4DKG4;B4DLL2;Q9BRN9;Q9H046;Q9H651
0.15174,0.469035,ENSG00000116793,PHTF1,Putative homeodomain transcription factor 1,B1ANS4;B4DGS8;Q5TCQ3;Q5TCQ5;Q5TCQ7;Q5TCR1;Q5VWP7;Q5VWP8;Q9BUP2;Q9BVX8;Q9H1X8;Q9UMS5
0.0870502,0.468775,ENSG00000118420,C6orf157;RP4-751H9.1-002;UBE2CBP,E3 ubiquitin-protein ligase E3D,B4DP63;C9JRS1;Q4G0J6;Q4G0X5;Q5T4W1;Q5T4W2;Q5T4W3;Q6IPR4;Q75UG0;Q7Z6J8;Q9NT42
0.42565,0.468465,ENSG00000087269,NOP14,Nucleolar protein 14,A8KA74;P78316;Q7LGI5;Q7Z6K0;Q8TBR6;Q96GC8
0.76218,0.468115,ENSG00000164171,ITGA2,Integrin alpha-2,P17301;Q14595;Q71V33
0.41711,0.468015,ENSG00000175203,DCTN2,Dynactin subunit 2,A8K8J9;B2RBK5;B3KTX4;Q13561;Q53H88;Q86YN2;Q9BW17
0.5775,0.467845,ENSG00000017797,RALBP1,RalA-binding protein 1,B4DUY4;Q15311;Q59E87
0.663821,0.467825,ENSG00000141027,DKFZp434M075;NCOR1,Nuclear receptor corepressor 1,A5PKW7;B3DLF8;B4DJ25;B4DZ48;C9JAP0;O75376;Q05CG3;Q3B773;Q6NTH1;Q6PDT8;Q6PGR4;Q7Z516;Q86W52;Q86YY0;Q86YY1;Q86YY2;Q9NSZ0;Q9UPV5;Q9UPY2;Q9UQ18
0.94279,0.467125,ENSG00000227345,PARG,Poly(ADP-ribose) glycohydrolase,A5YBK3;B4DHS4;B4DX76;Q5SQP4;Q5SQP5
0.38183,0.466445,ENSG00000197771,MCMBP,Mini-chromosome maintenance complex-binding protein,B3KSP7;Q6IA56;Q9BTE3;Q9BVT9;Q9H916
-0.0724597,0.466375,ENSG00000205189,ZBTB10,Zinc finger and BTB domain-containing protein 10,A4FVD0;A8E4L4;Q86W96;Q8IXI9;Q96DT7;Q96MH9;Q9H9H3
0.4324,0.466125,ENSG00000115233,PSMD14,26S proteasome non-ATPase regulatory subunit 14,B3KNW2;C9JW37;O00176;O00487;Q4ZG77;Q53TH1;Q59G89;Q96DE8
0.28114,0.465925,ENSG00000066926,DKFZp686P18130;FECH,"Ferrochelatase;Ferrochelatase, mitochondrial",A8KA72;B4DSA4;P22830;Q53FU1;Q5TZY0;Q7KZA3;Q8IXN1;Q8NAN0;Q8TD50
0.0613301,0.465626,ENSG00000168564,CDKN2AIP;DKFZp686M0665,CDKN2A-interacting protein,B3KTW3;Q7Z335;Q8TBM5;Q9NXV6;Q9NYH0
0.98904,0.465515,ENSG00000145817,YIPF5,Protein YIPF5,B3KW34;Q4VSN6;Q53EX4;Q8NHE5;Q969M3;Q9H338;Q9H3U4
0.292679,0.465216,ENSG00000107223,EDF1,Endothelial differentiation-related factor 1,O60869;Q5T5T2;Q9UIM1
0.55356,0.464755,ENSG00000145388,METTL14,Methyltransferase-like protein 14,A6NIG1;B4DJF7;Q969V2;Q9HCE5
0.35331,0.464355,ENSG00000066422,ZBTB11,Zinc finger and BTB domain-containing protein 11,B3KN38;C9J2L2;O95625;Q2NKP9;Q59H97
0.74261,0.464315,ENSG00000102981,PARD6A,Partitioning defective 6 homolog alpha,O14911;Q9NPB6;Q9NPJ7
0.79791,0.463555,ENSG00000113048,MRPS27,"28S ribosomal protein S27, mitochondrial",B4DKI9;B4DRT2;B4DT94;Q6P1S1;Q6PKB3;Q8N6F2;Q92552
0.55944,0.463155,ENSG00000143183,TMCO1,Transmembrane and coiled-coil domain-containing protein 1,B2REA0;B7Z591;C9JX01;O75545;Q9BZS3;Q9BZU8;Q9UM00
0.32287,0.463115,ENSG00000116679,DKFZp686K06216;IVNS1ABP,Influenza virus NS1A-binding protein,A8K8R6;A8MVR0;B3KM71;B3KMY8;B3KSM1;Q1G4T6;Q1G4T7;Q5TF75;Q5TF76;Q6MZF3;Q6NW38;Q7LCG2;Q9NZX0;Q9Y480;Q9Y6Y0
0.48011,0.462905,ENSG00000000460,C1orf112,Uncharacterized protein C1orf112,A6NFP1;B3KU42;B3KXC4;B4DGF2;B4DRP7;B4E0A9;Q3KNQ1;Q9H8L5;Q9NSG2;Q9NVJ0
0.56272,0.461175,ENSG00000108465,CDK5RAP3,CDK5 regulatory subunit-associated protein 3,B7Z6N4;Q53FA2;Q96JB5;Q9H3F8;Q9H8G0;Q9HBR9
-0.0175397,0.461005,ENSG00000137806,NDUFAF1,"Complex I intermediate-associated protein 30, mitochondrial",Q9BVZ5;Q9Y375
0.22264,0.460745,ENSG00000111885,MAN1A1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",P33908;Q6P052;Q9NU44;Q9UJI3
0.62305,0.460605,ENSG00000173171,MTX1,Metaxin-1,B1AVR9;B1AVS0;B1AVS1;B2R9P4;Q13505;Q9BUU3
0.59888,0.460345,ENSG00000198832,SELM,Selenoprotein M,A8MPZ2;Q8WWX9
0.59601,0.459885,ENSG00000099785,Mar-02,E3 ubiquitin-protein ligase MARCH2,A6NP10;Q5H785;Q8N5A3;Q96B78;Q9P0N8
0.22679,0.459875,ENSG00000162402,USP24,Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 24,B7WPF4;Q6ZSY2;Q8N2Y4;Q9NXD1;Q9UPU5
1.02018,0.459873,ENSG00000151917,BEND6;C6orf65,BEN domain-containing protein 6,B7Z8N8;B7Z9G1;Q4G0W8;Q5SZJ8;Q5SZK0;Q8N662;Q96NS6
0.78179,0.459755,ENSG00000131437,KIF3A,Kinesin-like protein KIF3A,A8MSW9;B4DHG8;C9J9X2;Q05CT3;Q2UVF2;Q59EN1;Q86XE9;Q8IWH8;Q9Y496;Q9Y6V4
0.62054,0.459546,ENSG00000062716,TMEM49;VMP1,Vacuole membrane protein 1,B4DED7;B4DGZ7;B4DVV9;Q96GC9;Q9H0P4;Q9P089
0.3458,0.459165,ENSG00000166847,DCTN5,Dynactin subunit 5,A8K9X8;B4DS97;Q9BTE1
0.82825,0.459155,ENSG00000187049,TMEM216,Transmembrane protein 216,A8MZ23;B7Z8N1;Q9P0N5
0.65136,0.458025,ENSG00000112343,DKFZp686F23130;TRIM38,Tripartite motif-containing protein 38,B2R862;O00635;Q59EA5;Q6MZQ5
0.45947,0.457245,ENSG00000181904,C5orf24,UPF0461 protein C5orf24,Q7Z6I8;Q86Y53;Q8N1T9
0.44486,0.457186,ENSG00000171792,C12orf32;RHINO,"RAD9, HUS1, RAD1-interacting nuclear orphan protein 1",B7Z989;Q9BSD3
0.27026,0.456985,ENSG00000214087,ARL16,ADP-ribosylation factor-like protein 16,B4E3H0;Q0P5N6
0.64739,0.456245,ENSG00000138434,SSFA2,Sperm-specific antigen 2,A8K6T0;B3KXT1;B4DP45;B4DQT6;B4E2E5;P28290;Q68DA6;Q7Z7L2;Q8N1L3;Q8N263;Q8N7H2;Q8NEN5;Q96E36;Q96PW1
0.28763,0.456156,ENSG00000136827,TOR1A,Torsin-1A,B2RB58;B3KPA1;B4DGM9;O14656;Q53Y64;Q96CA0
0.42137,0.455795,ENSG00000116478,DKFZp686H12203;HDAC1,Histone deacetylase;Histone deacetylase 1,B4DRG0;B4DSK9;B5BU61;B7Z3S4;Q13547;Q5HYD4;Q5TEE2;Q6IT96;Q92534
0.52056,0.455745,ENSG00000163344,PMVK,Phosphomevalonate kinase,Q15126;Q5TZW9;Q6FGV9
0.20736,0.455365,ENSG00000134602,MST4,Serine/threonine-protein kinase MST4,B2RAU2;B4E0Y9;B9ZVX1;C9JGW8;Q3ZB77;Q499L9;Q8NBY1;Q8NC04;Q96SR7;Q9BXC3;Q9BXC4;Q9NWX4;Q9P289
-0.858014,0.455305,ENSG00000155744,FAM126B;MGC39518,Protein FAM126B,B2RCG7;B3KUG1;B3KW57;C9J115;C9JNS4;C9JTA1;Q4ZG87;Q53TX6;Q8IXS8
0.30474,0.455265,ENSG00000151364,KCTD14,BTB/POZ domain-containing protein KCTD14,B2R9R8;Q9BQ13
0.0578202,0.454955,ENSG00000154511,FAM69A,Protein FAM69A,B4E174;C9JH01;Q5T7M9;Q6IRV2
0.59401,0.454865,ENSG00000115084,SLC35F5,Solute carrier family 35 member F5,B2RDY0;B8ZZV6;B8ZZY4;C9JM99;Q8WV83;Q9H6P8;Q9H7D8
0.35428,0.454725,ENSG00000179958,DCTPP1,dCTP pyrophosphatase 1,Q9H773
0.51278,0.454676,ENSG00000087191,Psmc5;PSMC5,26S protease regulatory subunit 8,A8K3Z3;A8K763;O35051;O43208;P47210;P52915;P52916;P62195;Q59GS3
-0.0270698,0.454015,ENSG00000166002,C11orf75,UPF0443 protein C11orf75,Q9NRQ5
